corso matricola sesso provincia anno tipo diploma votomat base votolau lode
E71 530729 M TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  50  60  91 NL
E72 530734 F VE 1999 N "*LICENZALINGUISTICA" 100 100 110 NL
E61 530737 F VE 1999 N "*LICENZALINGUISTICA"  90 100  92 NL
E71 530739 M TV 1999 N "*PERITOINDUSTRIALE" 100 100 104 NL
E72 530742 F PD 1999 N "MATURITA'LINGUISTICA"  40  60  98 NL
E61 530744 F TV 1999 N "*MATURITA'SCIENTIFICA"  81 100  99 NL
E72 530754 F PD 1999 N "MATURITA'ARTISTICASPERIMENTALE(*)"  84 100 101 NL
E65 530769 M VE 1999 N "*MATURITA'SCIENTIFICA"  92 100  95 NL
E66 530776 F VE 1999 N "*MATURITA'SCIENTIFICA"  89 100  97 NL
E70 530779 M PN 1999 N "*MATURITA'SCIENTIFICA"  80 100  97 NL
E66 530786 F VE 1999 N "*MATURITA'TECNICAPERILTURISMO" 100 100 107 NL
E72 530803 M CH 1999 N "*MATURITA'SCIENTIFICA"  48  60 108 NL
E66 530822 F VE 1999 N "*MATURITA'TECNICAPERILTURISMO"  93 100  98 NL
E69 530826 M VE 1999 N "*MATURITA'TECNICACOMMERCIALE"  91 100 103 NL
E72 530843 F VE 1999 N "*MATURITA'CLASSICA"  92 100 102 NL
E66 530876 F VE 1999 N "MATURITA'PROFESS.ALBERGHIERA"  95 100  97 NL
E72 530880 F PD 1999 N "*MATURITA'CLASSICA"  36  60  98 NL
E71 530892 M VE 1999 T "*MATURITA'SCIENTIFICA"  40  60  97 NL
E70 530912 M VE 1999 N "*MATURITA'TECNICACOMMERCIALE"  69 100  91 NL
E66 530942 F TV 1999 N "*LICENZALINGUISTICA"  80 100 101 NL
E66 530953 F TV 1999 N "*LICENZALINGUISTICA"  67 100  93 NL
E61 530959 M TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  80 100  90 NL
E61 530996 F PD 1999 N "*PERITOAZIENDALE"  80 100  95 NL
E72 531025 F VI 1999 N "MATURITA'ARTISTICASPERIMENTALE(*)"  97 100 110 L
E66 531027 F VI 1999 N "*MATURITA'SCIENTIFICA"  75 100  98 NL
E70 531044 M VE 1999 N "*MATURITA'TECNICACOMMERCIALE" 100 100  92 NL
E60 531046 M PD 1999 N "*MATURITA'TECNICACOMMERCIALE"  90 100  91 NL
E72 531088 F TV 1999 N "MATURITA'MAGISTRALESPERIMENTALE(*)" 100 100 106 NL
E72 531089 F TV 1999 N "MATURITA'MAGISTRALESPERIMENTALE(*)"  90 100 101 NL
E72 531142 F VI 1999 N "MATURITA'ARTISTICA(*)"  68 100 102 NL
E72 531158 F TV 1999 N "*MATURITA'PROFESSIONALEPERILCOMMERCIO"  75 100  95 NL
E72 531169 F VE 1999 N "*MATURITA'TECNICAPERILTURISMO" 100 100  98 NL
E72 531172 F PD 1999 N "*MATURITA'SCIENTIFICA"  36  60  94 NL
E72 531177 F VE 1999 N "IDONEITA`ARTISTICA"  54  60 107 NL
E62 531199 F PD 1999 N "*MATURITA'TECNICACOMMERCIALE"  97 100 103 NL
E66 531211 F TV 1999 N "MATURITA'LINGUISTICA"  82 100  99 NL
E66 531219 F VE 1999 N "*MATURITA'SCIENTIFICA"  63 100  91 NL
E61 531229 F PN 1999 N "*MATURITA'TECNICACOMMERCIALE"  85 100 102 NL
